"","Date","Specimen ID","uid","alpha_est","alpha_stderr","alpha_t","alpha_p","ek_est","ek_stderr","ek_t","ek_p","rETRmax","plant ID","ETRmax","Treatment","Species","RLC Day","Lanai Side","Temperature (°C)"
"1","2022-02-15","Ul2-1","2022-02-15_Ul2-1","0.841","0.081","10.379","0","90.4","10.3","8.8","0","79.8","Ul2","33.52","35‰","ul","5","E","20"
"2","2022-02-15","Ul2-2","2022-02-15_Ul2-2","2.944","102.497","0.029","0.978","10.6","370.8","0","1","42.18","Ul2","17.72","35‰","ul","5","E","20"
"3","2022-02-15","Ul2-3","2022-02-15_Ul2-3","2.453","33.575","0.073","0.944","12.7","174.9","0.1","0.9","41.99","Ul2","17.64","35‰","ul","5","E","20"
"4","2022-02-15","Ul2-4","2022-02-15_Ul2-4","3.912","4861.475","0.001","0.999","6.6","8215","0","1","36","Ul2","15.12","35‰","ul","5","E","20"
"5","2022-02-15","Ul3-1","2022-02-15_Ul3-1","3.66","9656.497","0","1","6.1","16077.1","0","1","29.38","Ul3","12.34","35‰","ul","5","E","27"
"6","2022-02-15","Ul3-2","2022-02-15_Ul3-2","3.534","1426.122","0.002","0.998","7.5","3015.1","0","1","35.34","Ul3","14.84","35‰","ul","5","E","27"
"7","2022-02-15","Ul3-3","2022-02-15_Ul3-3","4.439","2038.605","0.002","0.998","7","3200.1","0","1","37.62","Ul3","15.8","35‰","ul","5","E","27"
"8","2022-02-15","Ul3-4","2022-02-15_Ul3-4","1.202","1.17","1.027","0.344","31.4","32.4","1","0.4","48.07","Ul3","20.19","35‰","ul","5","E","27"
"9","2022-02-15","Ul4-1","2022-02-15_Ul4-1","2.488","45.555","0.055","0.958","12.7","232.6","0.1","1","43.89","Ul4","18.43","35‰","ul","5","E","27"
"10","2022-02-15","Ul4-2","2022-02-15_Ul4-2","3.776","12387.693","0","1","6","19575.2","0","1","30","Ul4","12.6","35‰","ul","5","E","27"
"11","2022-02-15","Ul4-3","2022-02-15_Ul4-3","1.002","0.603","1.661","0.148","36.3","23.5","1.5","0.2","43.7","Ul4","18.35","35‰","ul","5","E","27"
"12","2022-02-15","Ul4-4","2022-02-15_Ul4-4","3.094","1095.002","0.003","0.998","7.6","2698.3","0","1","33.06","Ul4","13.89","35‰","ul","5","E","27"
"13","2022-02-15","Ul5-1","2022-02-15_Ul5-1","3.675","894.774","0.004","0.997","7.8","1908.7","0","1","38.76","Ul5","16.28","35‰","ul","5","E","30"
"14","2022-02-15","Ul5-2","2022-02-15_Ul5-2","4.332","6716.155","0.001","1","6.1","9464.3","0","1","31.25","Ul5","13.12","35‰","ul","5","E","30"
"15","2022-02-15","Ul5-3","2022-02-15_Ul5-3","3.8","3031.864","0.001","0.999","6.9","5510.4","0","1","35.53","Ul5","14.92","35‰","ul","5","E","30"
"16","2022-02-15","Ul5-4","2022-02-15_Ul5-4","1.225","0.981","1.249","0.258","31.6","26.8","1.2","0.3","46.17","Ul5","19.39","35‰","ul","5","E","30"
"17","2022-02-15","Ul6-1","2022-02-15_Ul6-1","3.335","261.321","0.013","0.99","9.4","736.4","0","1","43.51","Ul6","18.27","35‰","ul","5","E","30"
"18","2022-02-15","Ul6-2","2022-02-15_Ul6-2","2.932","154.196","0.019","0.985","10.2","534.8","0","1","43.13","Ul6","18.11","35‰","ul","5","E","30"
"19","2022-02-15","Ul6-3","2022-02-15_Ul6-3","3.726","1207.192","0.003","0.998","7.3","2371","0","1","33.12","Ul6","13.91","35‰","ul","5","E","30"
"20","2022-02-15","Ul6-4","2022-02-15_Ul6-4","1.111","0.489","2.271","0.064","44.7","21.6","2.1","0.1","58.99","Ul6","24.78","35‰","ul","5","E","30"
"21","2022-02-15","Ul1-1","2022-02-15_Ul1-1","2.739","590.584","0.005","0.997","8.4","1805.7","0","1","34.74","Ul1","14.59","35‰","ul","5","E","20"
"22","2022-02-15","Ul1-2","2022-02-15_Ul1-2","3.991","1066.199","0.004","0.997","7.8","2092","0","1","42.37","Ul1","17.8","35‰","ul","5","E","20"
"23","2022-02-15","Ul1-3","2022-02-15_Ul1-3","1.773","4.092","0.433","0.68","20.5","48.4","0.4","0.7","46.93","Ul1","19.71","35‰","ul","5","E","20"
"24","2022-02-15","Ul1-4","2022-02-15_Ul1-4","4.611","52051.331","0","1","5.3","59591.6","0","1","33.57","Ul1","14.1","35‰","ul","5","E","20"
"25","2022-02-11","Ul1-1","2022-02-11_Ul1-1","4.142","3440.072","0.001","0.999","7","5787.8","0","1","44.27","Ul1","18.59","35‰","ul","1","E","20"
"26","2022-02-11","Ul1-2","2022-02-11_Ul1-2","3.262","286.32","0.011","0.991","9.2","804.1","0","1","41.42","Ul1","17.4","35‰","ul","1","E","20"
"27","2022-02-11","Ul1-3","2022-02-11_Ul1-3","0.931","0.449","2.075","0.083","44.7","23.7","1.9","0.1","49.02","Ul1","20.59","35‰","ul","1","E","20"
"28","2022-02-11","Ul1-4","2022-02-11_Ul1-4","2.682","40.448","0.066","0.95","11.1","168","0.1","1","34.58","Ul1","14.52","35‰","ul","1","E","20"
"29","2022-02-11","Ul2-1","2022-02-11_Ul2-1(5)","0.689","0.029","23.903","0","166.2","9.1","18.3","0","113.98","Ul2","47.87","35‰","ul","1","E","20"
"30","2022-02-11","Ul2-2","2022-02-11_Ul2-2(6)","0.781","0.152","5.15","0.002","61.2","13.5","4.5","0","52.5","Ul2","22.05","35‰","ul","1","E","20"
"31","2022-02-11","Ul2-3","2022-02-11_Ul2-3(7)","1.081","0.653","1.656","0.149","38.4","25.1","1.5","0.2","50.35","Ul2","21.15","35‰","ul","1","E","20"
"32","2022-02-11","Ul2-4","2022-02-11_Ul2-4(8)","1.531","5.857","0.261","0.803","19.9","77.9","0.3","0.8","45.41","Ul2","19.07","35‰","ul","1","E","20"
"33","2022-02-11","Ul3-1","2022-02-11_Ul3-1(9)","1.452","2.628","0.552","0.601","24.8","46.5","0.5","0.6","47.6","Ul3","19.99","35‰","ul","1","E","27"
"34","2022-02-11","Ul3-2","2022-02-11_Ul3-2(10)","1.269","0.992","1.28","0.248","30.1","24.9","1.2","0.3","47.5","Ul3","19.95","35‰","ul","1","E","27"
"35","2022-02-11","Ul3-3","2022-02-11_Ul3-3(11)","2.393","15.822","0.151","0.885","15.5","103.5","0.1","0.9","51.68","Ul3","21.71","35‰","ul","1","E","27"
"36","2022-02-11","Ul3-4","2022-02-11_Ul3-4(12)","1.252","0.858","1.46","0.195","32.2","23.4","1.4","0.2","48.64","Ul3","20.43","35‰","ul","1","E","27"
"37","2022-02-11","Ul4-1","2022-02-11_Ul4-1(13)","3.811","452.284","0.008","0.994","8.6","1022","0","1","44.46","Ul4","18.67","35‰","ul","1","E","27"
"38","2022-02-11","Ul4-2","2022-02-11_Ul4-2(14)","3.317","371.042","0.009","0.993","8.9","1001.2","0","1","39.71","Ul4","16.68","35‰","ul","1","E","27"
"39","2022-02-11","Ul4-3","2022-02-11_Ul4-3(15)","1.412","2.469","0.572","0.588","24.4","44.3","0.6","0.6","45.98","Ul4","19.31","35‰","ul","1","E","27"
"40","2022-02-11","Ul4-4","2022-02-11_Ul4-4(16)","1.748","7.958","0.22","0.833","17.3","79.7","0.2","0.8","41.61","Ul4","17.48","35‰","ul","1","E","27"
"41","2022-02-11","Ul5-1","2022-02-11_Ul5-1(17)","0.785","0.102","7.716","0","74.1","11.1","6.7","0","62.13","Ul5","26.09","35‰","ul","1","E","30"
"42","2022-02-11","Ul5-2","2022-02-11_Ul5-2(18)","1.883","10.308","0.183","0.861","17","94.4","0.2","0.9","46.74","Ul5","19.63","35‰","ul","1","E","30"
"43","2022-02-11","Ul5-3","2022-02-11_Ul5-3(19)","1.311","1.985","0.661","0.533","25.1","39.5","0.6","0.5","43.32","Ul5","18.19","35‰","ul","1","E","30"
"44","2022-02-11","Ul5-4","2022-02-11_Ul5-4(20)","0.849","0.224","3.79","0.009","59.3","17.7","3.4","0","59.28","Ul5","24.9","35‰","ul","1","E","30"
"45","2022-02-11","Ul6-1","2022-02-11_Ul6-1(21)","3.573","309.814","0.012","0.991","9.3","804.7","0","1","46.93","Ul6","19.71","35‰","ul","1","E","30"
"46","2022-02-11","Ul6-2","2022-02-11_Ul6-2(22)","1.746","63.575","0.027","0.979","11.2","407.9","0","1","29.35","Ul6","12.33","35‰","ul","1","E","30"
"47","2022-02-11","Ul6-3","2022-02-11_Ul6-3(23)","1.296","1.591","0.815","0.446","29.5","38.2","0.8","0.5","49.78","Ul6","20.91","35‰","ul","1","E","30"
"48","2022-02-11","Ul6-4","2022-02-11_Ul6-4(24)","3.762","4690.703","0.001","0.999","6.7","8302.7","0","1","37.25","Ul6","15.64","35‰","ul","1","E","30"
"49","2022-03-01","Ul4-1","2022-03-01_Ul4-1","3.297","602.34","0.005","0.996","8.3","1512.7","0","1","35.34","Ul4","14.84","35‰","ul","9","E","27"
"50","2022-03-01","Ul4-2","2022-03-01_Ul4-2","2.954","972.654","0.003","0.998","7","2298.6","0","1","24.25","Ul4","10.19","35‰","ul","9","E","27"
"51","2022-03-01","Ul4-3","2022-03-01_Ul4-3","2.479","49.856","0.05","0.963","10.9","220.3","0","1","31.75","Ul4","13.33","35‰","ul","9","E","27"
"52","2022-03-01","Ul4-4","2022-03-01_Ul4-4","3.121","297.844","0.01","0.992","9.1","866","0","1","38.95","Ul4","16.36","35‰","ul","9","E","27"
"53","2022-03-01","Ul5-1","2022-03-01_Ul5-1","3.264","758.763","0.004","0.997","7.2","1669.3","0","1","26.37","Ul5","11.08","35‰","ul","9","E","30"
"54","2022-03-01","Ul5-2","2022-03-01_Ul5-2","3.724","1496.847","0.002","0.998","7","2821.5","0","1","31.41","Ul5","13.19","35‰","ul","9","E","30"
"55","2022-03-01","Ul5-3","2022-03-01_Ul5-3","2.73","611.614","0.004","0.997","8.3","1855.4","0","1","32.49","Ul5","13.65","35‰","ul","9","E","30"
"56","2022-03-01","Ul5-4","2022-03-01_Ul5-4","2.521","2846.547","0.001","0.999","6.5","7294.2","0","1","20.79","Ul5","8.73","35‰","ul","9","E","30"
"57","2022-03-01","Ul6-1","2022-03-01_Ul6-1","3.094","2633.421","0.001","0.999","6.4","5482.5","0","1","23.85","Ul6","10.02","35‰","ul","9","E","30"
"58","2022-03-01","Ul6-2","2022-03-01_Ul6-2","2.554","390.527","0.007","0.995","8.3","1271.5","0","1","26.82","Ul6","11.26","35‰","ul","9","E","30"
"59","2022-03-01","Ul6-3","2022-03-01_Ul6-3","3.357","3225.405","0.001","0.999","6.8","6582.1","0","1","32","Ul6","13.44","35‰","ul","9","E","30"
