"","specimen_id","run","lanai_side","ek_day1","ek_day5","ek_day9","ek_delta","treatment","temp","rlc_order","plant_id","species","perc_delta"
"1","hm1-1","1","ewa",154.3,91.6,110.9,-0.281270252754375,"1",30,1,1,"hm",-28.127
"2","hm1-2","1","ewa",151.1,95.2,98.3,-0.349437458636664,"2",30,1,1,"hm",-34.944
"3","hm1-3","1","ewa",139.7,123.3,117,-0.162491052254832,"3",30,1,1,"hm",-16.249
"4","hm1-4","1","ewa",160.7,113.3,164.4,0.0230242688238956,"4",30,1,1,"hm",2.302
"5","ul1-1","1","ewa",141.8,89,88.2,-0.377997179125529,"1",30,1,1,"ul",-37.8
"6","ul1-2","1","ewa",91.5,64.3,92.6,0.0120218579234972,"2",30,1,1,"ul",1.202
"7","ul1-3","1","ewa",80.8,71,164.5,1.03589108910891,"3",30,1,1,"ul",103.589
"8","ul1-4","1","ewa",77.5,114.8,134.5,0.735483870967742,"4",30,1,1,"ul",73.548
"9","hm2-1","1","ewa",118.6,87,94.2,-0.205733558178752,"1",30,2,2,"hm",-20.573
"10","hm2-2","1","ewa",120.4,99.8,97.6,-0.18936877076412,"2",30,2,2,"hm",-18.937
"11","hm2-3","1","ewa",156.4,79,133,-0.149616368286445,"3",30,2,2,"hm",-14.962
"12","hm2-4","1","ewa",135,107.6,132.1,-0.0214814814814815,"4",30,2,2,"hm",-2.148
"13","ul2-1","1","ewa",95.7,83.7,79.4,-0.170323928944619,"1",30,2,2,"ul",-17.032
"14","ul2-2","1","ewa",106.4,75,50.7,-0.523496240601504,"2",30,2,2,"ul",-52.35
"15","ul2-3","1","ewa",93.3,109.4,88.9,-0.0471596998928188,"3",30,2,2,"ul",-4.716
"16","ul2-4","1","ewa",103.8,107.4,94.7,-0.0876685934489402,"4",30,2,2,"ul",-8.767
"17","hm3-1","1","ewa",82.5,126.4,68.9,-0.164848484848485,"1",27,3,3,"hm",-16.485
"18","hm3-2","1","ewa",90.8,121.3,55.3,-0.390969162995595,"2",27,3,3,"hm",-39.097
"19","hm3-3","1","ewa",73.2,145.5,78,0.0655737704918032,"3",27,3,3,"hm",6.557
"20","hm3-4","1","ewa",92.4,140.6,126.4,0.367965367965368,"4",27,3,3,"hm",36.797
"21","ul3-1","1","ewa",75.1,75.8,42.3,-0.436750998668442,"1",27,3,3,"ul",-43.675
