"","Specimen.ID","Run","Lanai.Side","Treatment","Temp...C.","RLC.Order","Plant.ID","Species","rETRmaxYpoint1","rETRmaxYpoint1_min","ek.1","posix_date","day1_rlc_time","day1_pmax","day1_pmax_min","day9_rlc_time","day9_ek","day9_rETRmaxYpoint1_min","day9_pmax","day9_pmax_min","day5_ek","day5_rETRmaxYpoint1_min","day5_pmax","day5_pmax_min","supersat_p1","supersat_p2","supersat_p3","supersat_avg","day_length_avg","supersat_rel","carbon1","carbon5","carbon9","carbon_total","dspi_pmax1","dspi_pmax5","dspi_pmax9","dspi_pmax_total"
"1","hm1-1","1","ewa","1",30,"1","1","hm",91.25,5475,124.3,2021-09-20,"8:22:09",96.03,5761.8,"11:43:20",70.6,4018.2,63.74,3824.4,54.8,3326.4,51.77,3106.2,468.666666666667,588,449,486.444444444444,677.333333333333,74.3,2565950,1955923.2,1804171.8,6326045,2700363.6,1826445.6,1717155.6,6243964.8
"2","hm1-2","1","ewa","2",30,"1","1","hm",100.8,6048,127.4,2021-09-20,"8:26:42",99.21,5952.6,"11:48:13",52.7,3420,54.56,3273.6,92.3,3351.6,58.42,3505.2,465.333333333333,528.5,493.5,491.888888888889,677.333333333333,75.6,2814336,1771320.6,1687770,6273426.6,2769943.2,1852498.2,1615521.6,6237963
"3","hm1-3","1","ewa","3",30,"1","1","hm",86.94,5216.4,120,2021-09-20,"8:31:21",91.26,5475.6,"11:52:37",78.3,3880.8,65.92,3955.2,99.8,4460.4,73.36,4401.6,475,509,432.5,463.666666666667,677.333333333333,71.3,2477790,2270343.6,1678446,6426579.6,2600910,2240414.4,1710624,6551948.4
"4","hm1-4","1","ewa","4",30,"1","1","hm",97.44,5846.4,145.3,2021-09-20,"8:35:45",106.02,6361.2,"11:57:02",123,5040,89.15,5349,75.2,3351.6,58.74,3524.4,446.333333333333,549.5,351.75,427.222222222222,677.333333333333,65.9,2609443.2,1841704.2,1772820,6223967.4,2839215.6,1936657.8,1881510.75,6657384.15
"5","ul1-1","1","ewa","1",30,"1","1","ul",111.3,6678,210.1,2021-09-20,"8:40:04",126.5,7590,"12:01:41",89.5,4206.6,69.64,4178.4,87.4,4086.6,67,4020,366,537,412.25,424.555555555556,677.333333333333,66.2,2444148,2194504.2,1734170.85,6372823.05,2777940,2158740,1722545.4,6659225.4
"6","ul1-2","1","ewa","2",30,"1","1","ul",75.18,4510.8,123.3,2021-09-20,"8:45:01",78.75,4725,"12:06:23",101.9,4463.4,75.74,4544.4,46.6,2884.2,45.77,2746.2,470.666666666667,606.5,387.75,464,677.333333333333,70.9,2123083.2,1749267.3,1730683.35,5603033.85,2223900,1665570.3,1762091.1,5651561.4
"7","ul1-3","1","ewa","3",30,"1","1","ul",67.55,4053,88.3,2021-09-20,"8:49:20",65.24,3914.4,"12:10:54",180.5,7308,132.64,7958.4,57.3,3420,52.86,3171.6,529,580,283.25,431.111111111111,677.333333333333,66.2,2144037,1983600,2069991,6197628,2070717.6,1839528,2254216.8,6164462.4
"8","ul1-4","1","ewa","4",30,"1","1","ul",65.84,3950.4,89.5,2021-09-20,"8:53:59",63.89,3833.4,"12:15:55",159.7,6224.4,111.97,6718.2,127,5796,96.25,5775,528,441,310.25,411.888888888889,677.333333333333,64.1,2085811.2,2556036,1931120.1,6572967.3,2024035.2,2546775,2084321.55,6655131.75
"9","hm2-1","1","ewa","1",30,"2","2","hm",72.24,4334.4,114.1,2021-09-20,"8:58:34",73.27,4396.2,"11:03:00",72.5,3301.2,52.62,3157.2,47.4,2918.4,47.04,2822.4,489.333333333333,605.5,434.5,490.777777777778,668.777777777778,75.3,2120966.4,1767091.2,1434371.4,5322429,2151207.2,1708963.2,1371803.4,5231973.8
"10","hm2-2","1","ewa","2",30,"2","2","hm",71.25,4275,107.4,2021-09-20,"9:03:35",73.19,4391.4,"11:08:09",46.4,2948.4,46.72,2803.2,62.8,3427.2,56.52,3391.2,498.333333333333,570,503.5,516.555555555556,668.777777777778,79.5,2130375,1953504,1484519.4,5568398.4,2188381,1932984,1411411.2,5532776.2
"11","hm2-3","1","ewa","3",30,"2","2","hm",89.04,5342.4,148.5,2021-09-20,"9:08:10",97.11,5826.6,"11:12:54",97.1,4480.2,76.16,4569.6,59,2821.8,45.22,2713.2,439,577.5,382.25,444.555555555556,668.777777777778,68.8,2345313.6,1629589.5,1712556.45,5687459.55,2557877.4,1566873,1746729.6,5871480
"12","hm2-4","1","ewa","4",30,"2","2","hm",80.64,4838.4,116.8,2021-09-20,"9:12:43",82.66,4959.6,"11:18:10",84.1,3984.6,69.72,4183.2,69.8,3452.4,58.29,3497.4,478.666666666667,555.5,412,466.111111111111,668.888888888889,71.9,2315980.8,1917808.2,1641655.2,5875444.2,2373995.2,1942805.7,1723478.4,6040279.3
"13","ul2-1","1","ewa","1",30,"2","2","ul",77.81,4668.6,110.9,2021-09-20,"9:17:09",78.82,4729.2,"11:22:53",68,3727.8,60.93,3655.8,80.3,3950.4,64.97,3898.2,489.333333333333,545,449.75,484.111111111111,668.888888888889,74.9,2284501.6,2152968,1676578.05,6114047.65,2314155.2,2124519,1644196.05,6082870.25
"14","ul2-2","1","ewa","2",30,"2","2","ul",78.54,4712.4,116.4,2021-09-20,"9:21:58",79.28,4756.8,"11:28:12",32.9,2211.6,35.75,2145,70.8,3607.8,58.17,3490.2,476.666666666667,554.5,538.5,521.444444444444,668.888888888889,80.5,2246244,2000525.1,1190946.6,5437715.7,2267408,1935315.9,1155082.5,5357806.4
"15","ul2-3","1","ewa","3",30,"2","2","ul",78.96,4737.6,139.6,2021-09-20,"9:26:23",83.77,5026.2,"11:33:38",120.2,4485.6,78.24,4694.4,132.1,5443.2,94.15,5649,444.333333333333,434,351.5,400.777777777778,669.111111111111,63.2,2105073.6,2362348.8,1576688.4,6044110.8,2233308.2,2451666,1650081.6,6335055.8
"16","ul2-4","1","ewa","4",30,"2","2","ul",85.26,5115.6,138.4,2021-09-20,"9:30:54",89.52,5371.2,"11:38:30",113.1,4309.2,76.08,4564.8,135.2,5065.2,90.9,5454,443.333333333333,430.5,362.75,404.666666666667,669.111111111111,63.9,2267916,2180568.6,1563162.3,6011646.9,2381232,2347947,1655881.2,6385060.2
"17","hm3-1","1","ewa","1",27,"3","3","hm",47.46,2847.6,52.7,2021-09-20,"9:35:19",42.88,2572.8,"9:06:44",69.1,2923.2,44.19,2651.4,82.9,4334.4,74.56,4473.6,578.666666666667,541.5,412,496.333333333333,651.777777777778,75.9,1647811.2,2347077.6,1204358.4,5199247.2,1488793.6,2422454.4,1092376.8,5003624.8
"18","hm3-2","1","ewa","2",27,"3","3","hm",50,3000,67.9,2021-09-20,"9:39:53",43.54,2612.4,"9:12:13",48.1,2217.6,34.54,2072.4,82.7,4155,68.03,4081.8,548.333333333333,541.5,467.25,510.777777777778,651.777777777778,79.3,1645000,2249932.5,1036173.6,4931106.1,1432466,2210294.7,968328.9,4611089.6
"19","hm3-3","1","ewa","3",27,"3","3","hm",34.02,2041.2,74.1,2021-09-20,"9:44:18",32.62,1957.2,"9:16:39",45.8,2701.8,42.56,2553.6,104.2,4890.6,88.99,5339.4,529.666666666667,494.5,478.25,499,651.888888888889,77.9,1081155.6,2418401.7,1292135.85,4791693.15,1036663.6,2640333.3,1221259.2,4898256.1
"20","hm3-4","1","ewa","4",27,"3","3","hm",63,3780,95.7,2021-09-20,"9:48:52",57.17,3430.2,"9:20:56",102.7,4086.6,71.47,4288.2,104.5,4309.2,77.76,4665.6,498.333333333333,493,345.25,429.111111111111,651.777777777778,65.5,1883700,2124435.6,1410898.65,5419034.25,1709383,2300140.8,1480501.05,5490024.85
"21","ul3-1","1","ewa","1",27,"3","3","ul",62.7,3762,110.1,2021-09-20,"9:53:30",64.53,3871.8,"9:25:22",20,1738.8,27.57,1654.2,86.8,3573.6,59.64,3578.4,478.666666666667,537,531.5,515.111111111111,651.888888888889,81.1,1800744,1919023.2,924172.2,4643939.4,1853301.6,1921600.8,879207.3,4654109.7
"22","ul3-2","1","ewa","2",27,"3","3","ul",62.16,3729.6,99.5,2021-09-20,"9:57:59",62.68,3760.8,"9:30:31",58.7,2650.2,41.34,2480.4,91.3,3539.4,59.48,3568.8,488.333333333333,530.5,441.25,476.777777777778,651.888888888889,74.7,1821288,1877651.7,1169400.75,4868340.45,1836524,1893248.4,1094476.5,4824248.9
"23","ul3-3","1","ewa","3",27,"3","3","ul",82.32,4939.2,150,2021-09-20,"9:59:35",85.16,5109.6,"9:35:23",68.5,3198,53.75,3225,89,3591,61.31,3678.6,419.666666666667,532.5,420.75,445.222222222222,652.333333333333,69.9,2072817.6,1912207.5,1345558.5,5330583.6,2144328.8,1958854.5,1356918.75,5460102.05
"24","ul3-4","1","ewa","4",27,"3","3","ul",60.42,3625.2,108.1,2021-09-20,"10:07:05",62.27,3736.2,"9:39:58",84.8,3710.4,63.95,3837,84.4,3693.6,61.86,3711.6,476,539.5,386.25,450.222222222222,651.888888888889,69.6,1725595.2,1992697.2,1433142,5151434.4,1778431.2,2002408.2,1482041.25,5262880.65
"25","hm4-1","1","ewa","1",27,"4","4","hm",52.73,3163.8,68.8,2021-09-20,"10:11:34",53.06,3183.6,"8:22:24",111.2,3862.8,68.82,4129.2,84.2,4158,68.66,4119.6,534.333333333333,540,330,444.777777777778,642.888888888889,67.1,1690523.8,2245320,1274724,5210567.8,1701103.6,2224584,1362636,5288323.6
"26","hm4-2","1","ewa","2",27,"4","4","hm",90,5400,122.8,2021-09-20,"10:16:51",85.33,5119.8,"8:35:55",74.9,2368.8,38.75,2325,51.6,3021,48.33,2899.8,445,596.5,391,454.666666666667,643.666666666667,69,2403000,1802026.5,926200.8,5131227.3,2278311,1729730.7,909075,4917116.7
"27","hm4-3","1","ewa","3",27,"4","4","hm",117.18,7030.8,193.9,2021-09-20,"10:21:56",130.14,7808.4,"8:28:22",124.2,4636.8,80.38,4822.8,84.1,4343.4,75.38,4522.8,359,540,311.5,378.111111111111,642.333333333333,58.4,2524057.2,2345436,1444363.2,6313856.4,2803215.6,2442312,1502302.2,6747829.8
"28","hm4-4","1","ewa","4",27,"4","4","hm",104.16,6249.6,167.3,2021-09-20,"10:26:25",105.7,6342,"8:40:51",48.1,2224.8,39,2340,130.9,4561.2,87.93,5275.8,386,436,459.5,429.777777777778,643.222222222222,68.9,2412345.6,1988683.2,1022295.6,5423324.4,2448012,2300248.8,1075230,5823490.8
"29","ul4-1","1","ewa","1",27,"4","4","ul",56.28,3376.8,153,2021-09-20,"10:31:02",60.41,3624.6,"8:46:19",65.6,3249,51.91,3114.6,52.8,2827.2,45.05,2703,404,592,417.25,451.666666666667,643.333333333333,70.6,1364227.2,1673702.4,1355645.25,4393574.85,1464338.4,1600176,1299566.85,4364081.25
"30","ul4-2","1","ewa","2",27,"4","4","ul",55.02,3301.2,107.3,2021-09-20,"10:36:21",56.21,3372.6,"8:50:41",67.3,3009.6,49.19,2951.4,86.8,3847.2,63.3,3798,467.666666666667,537,414.25,459.333333333333,643.222222222222,71.7,1543861.2,2065946.4,1246726.8,4856534.4,1577252.6,2039526,1222617.45,4839396.05
"31","ul4-3","1","ewa","3",27,"4","4","ul",74.34,4460.4,144.1,2021-09-20,"10:40:55",77.95,4677,"8:55:16",53,2724.6,43,2580,113.9,4762.8,81.9,4914,412.333333333333,466.5,450,441.111111111111,643.222222222222,70.4,1839171.6,2221846.2,1226070,5287087.8,1928483,2292381,1161000,5381864
"32","ul4-4","1","ewa","4",27,"4","4","ul",94.5,5670,211.5,2021-09-20,"10:45:25",109.72,6583.2,"9:00:24",113,4258.2,74.11,4446.6,158,5518.8,101.63,6097.8,333.333333333333,399.5,327.25,345.333333333333,643.333333333333,54.5,1890000,2204760.6,1393495.95,5488256.55,2194400,2436071.1,1455149.85,6085620.95
"33","hm5-1","1","ewa","1",20,"5","5","hm",55.44,3326.4,77.9,2021-09-20,"10:49:53",53.26,3195.6,"10:23:06",80.8,3625.2,61.78,3706.8,89.6,4485.6,71.49,4289.4,501,531.5,405.5,465.333333333333,651.888888888889,72.8,1666526.4,2384096.4,1470018.6,5520641.4,1600995.6,2279816.1,1503107.4,5383919.1
"34","hm5-2","1","ewa","2",20,"5","5","hm",70.98,4258.8,111,2021-09-20,"10:54:22",70.05,4203,"10:27:46",88.5,3112.2,54.31,3258.6,168.2,6174,112.04,6722.4,457,369.5,391,408.222222222222,652,65.5,1946271.6,2281293,1216870.2,5444434.8,1920771,2483926.8,1274112.6,5678810.4
